-17 -21
-3 -3
12 16
2 8
-8 -4
-8 -9
-3 -8
8 1
18 14
6 6
0 4
-12 -6
5 9
-12 -13
1 -3
-1 -7
11 7
2 3
9 14
-5 1
-2 2
0 -1
-18 -23
0 -6
1 -3
-2 -1
-1 4
3 9
-3 1
-5 -6
2 -3
11 5
2 -2
5 6
-3 2
-9 -3
-12 -8
-2 -4
-4 -9
15 9
5 2
13 15
-21 -16
8 14
-11 -8
-2 -4
7 2
-9 -15
-4 -7
6 7
-7 -1
-19 -13
-7 -5
-13 -15
-5 -11
18 13
-7 -9
11 13
-15 -9
-8 -3
-11 -9
-11 -13
5 -1
-3 -8
-9 -12
2 5
-9 -4
6 11
6 8
15 13
11 5
-2 -7
3 1
-6 -4
7 13
0 6
-20 -18
-6 -8
1 -5
12 6
2 0
1 4
-12 -6
1 6
-7 -5
-2 -5
7 1
-4 -9
-9 -10
-6 -2
-10 -5
-10 -5
-18 -17
3 0
1 -5
7 2
-4 -5
7 11
1 7
14 19
4 5
-3 -7
-10 -16
2 -3
5 4
1 5
-7 -1
-3 2
-8 -7
5 1
11 5
-12 -17
2 2
-14 -10
-5 1
12 17
-4 -4
-4 -8
5 -1
3 -2
15 14
7 11
-8 -2
4 8
-4 -4
3 -1
2 -4
2 -3
7 7
-8 -3
5 12
-3 2
-9 -10
16 12
11 5
-1 -5
-6 -6
-4 1
-1 5
-9 -5
-1 -1
-4 -9
-6 -12
8 4
-4 -4
0 4
8 14
13 17
-13 -13
2 -3
-17 -23
9 5
7 8
18 23
-8 -2
-12 -8
-24 -25
10 5
-8 -14
13 10
-1 0
-2 3
-1 5
1 4
2 1
0 -6
-3 -9
7 4
-6 -4
3 8
1 7
-1 2
-2 -3
1 -4
-8 -14
9 6
4 6
-23 -18
11 17
9 12
-1 -3
8 3
15 9
-1 -4
13 15
-8 -2
-1 5
-2 1
2 -1
4 -2
3 -3
-7 -10
3 5
-10 -4
-10 -4
-1 1
-10 -13
7 2
11 5
3 1
17 20
-3 3
-10 -4
2 4
4 1
8 2
-7 -12
-2 -4
8 11
-9 -3
-8 -2
-15 -14
3 0
-5 -11
7 1
-9 -10
-1 2
-4 2
-12 -7
-5 -4
-8 -11
1 -5
5 0
7 6
16 19
5 11
13 18
-15 -14
3 -1
4 -2
8 3
-6 -7
-3 1
-5 1
1 6
-10 -10
-1 -5
-17 -23
4 -1
0 -1
6 10
-9 -3
0 5
2 3
-8 -12
2 -4
8 3
12 12
-1 3
-2 4
-9 -5
-7 -7
10 6
14 8
10 5
13 13
-8 -3
12 18
-24 -20
4 4
-3 -8
-5 -11
-18 -22
-4 -4
0 5
2 8
-2 2
-8 -9
12 8
16 10
18 14
-2 -1
6 11
-3 3
0 4
-3 -4
-10 -15
22 16
19 15
-15 -14
-10 -5
4 10
-3 1
-19 -20
-12 -17
-6 -12
16 13
3 5
21 26
-12 -6
-12 -9
8 6
3 -2
9 3
16 13
-3 -1
10 15
6 12
-13 -10
-8 -10
7 2
2 -4
4 1
9 10
8 13
-4 2
-11 -8
-18 -20
-9 -15
8 2
16 14
10 12
-2 3
-20 -15
-2 0
1 -1
12 6
7 2
-1 -3
7 9
-11 -5
-4 2
-2 0
18 15
10 5
3 -3
0 -2
5 7
1 7
16 21
1 2
0 -2
-5 -10
7 2
14 12
3 6
12 18
-8 -3
8 9
-10 -13
5 -1
-2 -7
-3 -4
-16 -13
-9 -3
-10 -5
3 4
2 -2
0 -6
3 -2
11 10
6 10
-3 3
1 6
-13 -12
4 1
1 -5
0 -5
-1 -2
6 9
-8 -2
-3 2
16 17
10 7
2 -4
10 6
13 13
-5 -1
-2 4
-4 1
8 9
-3 -7
-2 -8
-6 -11
10 10
-7 -3
-8 -2
3 8
6 6
-8 -13
-1 -7
-6 -10
-2 -2
-12 -8
3 9
-16 -11
-5 -5
6 1
3 -3
-3 -8
2 2
1 5
-3 3
-13 -9
-19 -19
-1 -6
13 7
13 9
-7 -6
-7 -2
2 8
4 7
6 5
-5 -10
8 2
7 3
-6 -5
3 8
-5 1
15 19
-2 -3
-1 -6
-5 -11
9 6
1 2
5 10
10 16
1 4
12 10
2 -4
10 4
4 1
6 7
-3 2
-10 -4
-6 -3
-5 -6
7 2
14 8
1 -2
-1 1
-11 -6
14 20
-6 -3
-10 -12
10 4
4 -2
5 2
10 12
2 7
-18 -13
-1 2
-4 -6
3 -3
-6 -11
-8 -10
-5 -3
-6 0
-24 -18
-3 0
9 6
10 5
7 1
-4 -6
5 7
15 21
-1 4
-14 -12
-1 -4
-7 -13
12 6
10 8
1 4
-11 -6
-4 1
6 8
4 1
8 2
0 -5
8 7
2 5
16 22
-12 -7
-3 -2
10 6
3 -3
14 9
-13 -14
1 4
-12 -6
-4 1
-11 -10
11 8
19 13
1 -4
-4 -5
1 5
6 12
13 18
-17 -16
4 0
16 10
-3 -8
-2 -3
13 17
6 12
-7 -3
-6 -5
-10 -14
-2 -8
1 -3
11 11
2 7
6 13
-23 -18
-14 -13
1 -3
10 4
18 14
17 17
4 9
-16 -10
9 14
1 1
-4 -9
7 1
-15 -19
5 5
4 8
-22 -16
-6 -2
-17 -17
1 -3
14 8
-6 -10
-2 -1
2 7
-2 4
-9 -5
-15 -15
5 1
-19 -25
2 -2
6 7
-6 -1
-1 5
-11 -7
-7 -8
11 6
-7 -13
-3 -7
-5 -4
2 7
-1 5
-8 -4
-4 -6
7 1
-5 -11
8 5
2 4
5 10
-18 -12
-3 0
2 1
17 12
-7 -13
0 -3
7 8
-7 -1
-6 0
-3 0
2 0
-4 -9
6 0
1 -2
-1 1
-14 -9
3 8
11 13
15 13
3 -3
-25 -31
8 5
2 4
2 7
18 24
-2 1
5 3
5 -1
-6 -12
13 11
7 9
1 6
-7 -1
-3 -1
-5 -7
-6 -12
-1 -6
4 2
10 13
-5 1
1 7
-1 0
-7 -10
9 3
2 -4
-13 -15
-5 -2
-14 -8
-11 -6
-3 -2
-8 -11
6 0
15 10
1 0
5 8
-8 -2
-2 3
-10 -9
1 -2
5 -1
1 -4
-5 -6
2 5
5 11
-12 -6
-5 -4
0 -4
-9 -15
1 -3
4 3
-5 -2
3 9
-9 -4
-11 -10
-4 -8
4 -2
7 2
1 1
-17 -13
-12 -6
-6 -1
10 11
-14 -18
-1 -7
-10 -15
15 15
13 17
16 22
-10 -6
-11 -11
1 -3
-8 -14
15 10
1 2
-2 2
-12 -6
7 11
-12 -12
-7 -11
7 1
0 -4
5 6
-2 2
-4 2
3 7
-10 -11
0 -4
-8 -14
10 6
6 6
10 15
0 6
4 8
-7 -8
-5 -10
-3 -9
-7 -11
14 15
-10 -5
-21 -15
-10 -7
-2 -3
9 4
10 4
-8 -11
-7 -6
-10 -5
4 10
-12 -8
-16 -18
-14 -20
-1 -7
16 13
6 8
-2 3
-19 -13
-1 2
-3 -4
-18 -24
0 -6
1 -2
-15 -13
5 11
-8 -2
3 6
-1 -3
2 -4
-9 -15
9 6
-4 -2
1 7
-12 -7
-4 -2
14 11
-12 -18
2 -3
9 6
-3 0
6 12
-13 -7
-8 -6
0 -2
4 -2
-9 -15
6 4
-8 -6
-16 -10
-12 -7
1 3
-14 -17
0 -6
7 1
4 2
-4 -1
-2 4
-1 4
7 9
-2 -5
9 3
